# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 1.286466838791966438e-03 9.588963389396667480e-01 4.427998326718807220e-03 8.355069905519485474e-03 4.608658142387866974e-03 1.286466838791966438e-03 9.588963389396667480e-01 4.427998326718807220e-03 8.355069905519485474e-03 4.608658142387866974e-03
1.000000000000000000e+03 2.089702029479667544e-04 4.832625272683799267e-04 2.123561353073455393e-05 1.123771257698535919e-02 6.980928446864709258e-05 2.089702029479667544e-04 4.832625272683799267e-04 2.123561353073455393e-05 1.123771257698535919e-02 6.980928446864709258e-05
2.000000000000000000e+03 2.538546978030353785e-04 7.235415978357195854e-04 1.629033067729324102e-04 7.790303323417901993e-03 1.352061372017487884e-04 2.538546978030353785e-04 7.235415978357195854e-04 1.629033067729324102e-04 7.790303323417901993e-03 1.352061372017487884e-04
3.000000000000000000e+03 3.545238287188112736e-04 6.321788532659411430e-04 5.639742594212293625e-04 4.914459306746721268e-03 1.922770607052370906e-04 3.545238287188112736e-04 6.321788532659411430e-04 5.639742594212293625e-04 4.914459306746721268e-03 1.922770607052370906e-04
4.000000000000000000e+03 3.968288656324148178e-04 3.575556911528110504e-04 8.594677783548831940e-04 3.821982070803642273e-03 2.108093613060191274e-04 3.968288656324148178e-04 3.575556911528110504e-04 8.594677783548831940e-04 3.821982070803642273e-03 2.108093613060191274e-04
5.000000000000000000e+03 3.693738544825464487e-04 2.272096025990322232e-04 1.043225754983723164e-03 3.350340528413653374e-03 2.066073939204216003e-04 3.693738544825464487e-04 2.272096025990322232e-04 1.043225754983723164e-03 3.350340528413653374e-03 2.066073939204216003e-04
6.000000000000000000e+03 3.650656435638666153e-04 1.544664264656603336e-04 1.067230477929115295e-03 3.157590050250291824e-03 2.187136124121025205e-04 3.650656435638666153e-04 1.544664264656603336e-04 1.067230477929115295e-03 3.157590050250291824e-03 2.187136124121025205e-04
7.000000000000000000e+03 3.583536308724433184e-04 1.204624059027992189e-04 1.053639221936464310e-03 3.038507420569658279e-03 2.225779317086562514e-04 3.583536308724433184e-04 1.204624059027992189e-04 1.053639221936464310e-03 3.038507420569658279e-03 2.225779317086562514e-04
8.000000000000000000e+03 3.511403338052332401e-04 9.186980605591088533e-05 1.028801314532756805e-03 2.962406957522034645e-03 2.509316254872828722e-04 3.511403338052332401e-04 9.186980605591088533e-05 1.028801314532756805e-03 2.962406957522034645e-03 2.509316254872828722e-04
9.000000000000000000e+03 3.352786006871610880e-04 8.848578727338463068e-05 1.051774481311440468e-03 2.793459221720695496e-03 2.236235159216448665e-04 3.352786006871610880e-04 8.848578727338463068e-05 1.051774481311440468e-03 2.793459221720695496e-03 2.236235159216448665e-04
1.000000000000000000e+04 3.287302970420569181e-04 8.365705434698611498e-05 1.052471343427896500e-03 2.670641522854566574e-03 2.226646029157564044e-04 3.287302970420569181e-04 8.365705434698611498e-05 1.052471343427896500e-03 2.670641522854566574e-03 2.226646029157564044e-04
